objective_id,assessment_objective,control_title,family,machine_reportable,referent_class,authority_source,feed_types,rationale,prior_call,change_note,owner_comments
03.03.03_obj.c,event types being logged are updated based on the review.,Review and update logged events.,AU,partial,,,Host config read,"As 03.03.03.b - config change is emitted, its provenance in a review is not.",,,
03.03.04_obj.a,personnel or roles to be alerted in the event of an audit logging process failure are identified.,Alert in the event of an audit logging process failure.,AU,no,,,,Alert action-group / notification-target membership is emitted.,yes,"V8 AUDIT: Action-group membership IS the identification; who must be alerted is inherently org-specific — artifact, not pending-ODP. || V8.5: personnel-to-alert is a declaration; manual",
03.03.04_obj.b,types of audit logging process failures for which alert will be generated are defined.,Alert in the event of an audit logging process failure.,AU,no,,,,Configured failure-alert rules are emitted.,yes,FLOOR RULE: failure-types definition; configured alert rules are the customer's declaration absent a Department list. || V8.5: failure-types definition is manual; unfloored,
03.03.04_obj.c,identified personnel or roles are alerted in the event of an audit logging process failure.,Alert in the event of an audit logging process failure.,AU,no,,,,Alert firing records are emitted and joinable to target membership.,yes,V8.5: alert-on-failure is monitoring (SIEM out of scope); manual,
03.03.05_obj.a,"audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity are defined.","Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",AU,no,,ODP (frequency only),,Process definition. Not emitted.,,"CORRECTION during floor pass: ODP fixes review frequency, not the process definition this objective asks for. Erroneous no->yes flip caught by change tracking and reverted. Authority annotation retained at frequency scope only.",
03.03.05_obj.b,"defined audit record review, analysis, and reporting processes are correlated.","Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",AU,no,,,,Correlation rule state and rule-hit records are emitted; that they constitute the *defined* processes is not machine-determinable.,partial,V8.5: correlation is SIEM (out of scope),
03.03.06_obj.a,an audit record reduction capability that supports on-demand analysis is provided.,Provide audit record reduction and report generation to support on-demand analysis and reporting.,AU,no,,,,Query/reduction capability demonstrated by the platform itself; capability presence is emitted as workspace/config state.,yes,"V8 AUDIT: KEPT per owner ruling: SIEM presence + ingestion of the correct records validates against the PUBLISHED 03.03.01 event-list ODP. Define inherited transitively; validate machine. Contrast IR capability rows, which lack any such referent. || V8.5: reduction capability is SIEM (out of scope); transitive ODP does not survive without in-scope emission",
03.03.06_obj.b,a report generation capability that supports on-demand reporting is provided.,Provide audit record reduction and report generation to support on-demand analysis and reporting.,AU,no,,,,Report/workbook configuration is emitted.,yes,V8 AUDIT: KEPT: report surface over the same ODP-defined record set. As .a. || V8.5: report-generation capability is SIEM (out of scope),
03.03.07_obj.a,internal system clocks are used to generate time stamps for audit records.,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,AU,no,,,,Timestamp source configuration is emitted per host.,yes,"V8.5: timestamps-in-records is a log-content observation, not a discrete config setting; manual",
03.03.07_obj.b,an authoritative source with which to compare and synchronize internal system clocks is specified.,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,AU,partial,,,Host config read,NTP peer/source configuration is emitted. Objective asks the source be specified; the configured value is the emission - floor question separate.,yes,FLOOR RULE: authoritative-source choice is customer-declared; config emits the declared value. Benchmark requires sync but does not name the source. || V8.5: off ODP-pending; source identity org-declared; CIS floors NTP-client-enable not source; unfloored,
03.03.07_obj.c,internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source.,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,AU,yes,Organization-defined ODP,artifact,Host config read,Sync status and offset are emitted.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8.5: demoted; CIS floors NTP-client-enable (L2) not the specified source; source declared; delivery-plane contingent (GPO/Intune); feed off SIEM,
03.03.08_obj.a,audit information is protected from unauthorized access.,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",AU,yes,NCP checklist repository (inherited),,Config API|Host config read,ACLs on log stores and workspace RBAC are emitted.,,,
03.03.08_obj.b,audit information is protected from unauthorized modification.,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",AU,yes,NCP checklist repository (inherited),,Host config read,"Write/delete rights controlled by the DACL on the audit store (same ACL as .a); preventive, read once. Monitoring/FIM out of scope.",,V8.5: rationale re-based FIM/change-event -> DACL,
03.03.08_obj.c,audit information is protected from unauthorized deletion.,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",AU,yes,NCP checklist repository (inherited),,Host config read,"Deletion right controlled by the DACL on the audit store; preventive, read once. Monitoring/FIM out of scope.",,V8.5: rationale re-based FIM -> DACL,
03.03.08_obj.d,audit logging tools are protected from unauthorized access.,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",AU,yes,NCP checklist repository (inherited),,Config API|Host config read,Tool-binary ACLs and RBAC emitted.,,,
03.03.08_obj.e,audit logging tools are protected from unauthorized modification.,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",AU,yes,NCP checklist repository (inherited),,Host config read,"Write/delete rights on tool binaries controlled by binary DACL; preventive, read once. Monitoring/FIM out of scope.",,V8.5: rationale re-based FIM -> DACL,
03.03.08_obj.f,audit logging tools are protected from unauthorized deletion.,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",AU,yes,NCP checklist repository (inherited),,Host config read,"Deletion right on tool binaries controlled by binary DACL; preventive, read once. Monitoring/FIM out of scope.",,V8.5: rationale re-based FIM -> DACL,
03.03.09_obj.a,a subset of privileged users granted access to manage audit logging functionality is defined.,Limit management of audit logging functionality to a subset of privileged users.,AU,yes,Organization-defined ODP,artifact,Directory enumeration,Privileged-subset membership (role/PIM assignment) is an enumeration.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Role/PIM membership IS the subset definition; self-referential.,
03.03.09_obj.b,management of audit logging functionality is limited to the defined subset of privileged users.,Limit management of audit logging functionality to a subset of privileged users.,AU,yes,NCP checklist repository (inherited),,Directory enumeration,"Enforcement is the manage-audit role assignment (CIS ""Manage auditing and security log"" user right); directory-enumerable. Only the subset holds the role.",,"V8.5: dropped SIEM feed; enforcement = role assignment, not log join",
03.08.01_obj.a,paper media containing CUI is physically controlled.,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",MP,no,,,,Paper media. No system emission exists or is producible in principle.,,,
03.08.01_obj.b,digital media containing CUI is physically controlled.,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",MP,no,,,,Initially classified inherited under a cloud-only boundary assumption - corrected: facility and endpoints hold digital media outside CSP scope; no local emission evidences physical control. Correction retained deliberately.,,,
03.08.01_obj.c,paper media containing CUI is securely stored.,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",MP,no,,,,"Paper media, as 03.08.01.a.",,,
03.08.01_obj.d,digital media containing CUI is securely stored.,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",MP,no,,,Host config read|Config API,"Volume encryption state emitted (BitLocker/SSE). Scope predicate: emission proves managed volumes encrypted, not that CUI resides on them - predicate is a declaration, recurs across family.",,,
03.08.02_obj.a,limit access to CUI on system media to authorized users.,Limit access to CUI on system media to authorized users.,MP,partial,,,Config API|Host config read,CA policy state and filesystem ACLs emitted. Same scope predicate.,,,
03.08.03_obj.a,system media containing CUI is sanitized or destroyed before disposal.,Sanitize or destroy system media containing CUI before disposal or release for reuse.,MP,no,,,,Process record (device retire/wipe). Record attests a human process; who authorized/executed is not machine-determinable. Also previously mis-inherited - CSP sanitizes its own hardware only.,,,
03.08.03_obj.b,system media containing CUI is sanitized before it is released for reuse.,Sanitize or destroy system media containing CUI before disposal or release for reuse.,MP,no,,,,As 03.08.03.a.,,,
03.08.04_obj.a,media containing CUI is marked with applicable CUI markings.,Mark media with necessary CUI markings and distribution limitations.,MP,partial,,,Config API,Label policy state would be emitted if labeling deployed (not in lab stack); paper marking never emits. Partial on digital-media emission being available out-of-box in the service class.,,,
03.08.04_obj.b,media containing CUI is marked with distribution limitations.,Mark media with necessary CUI markings and distribution limitations.,MP,partial,,,Config API,As 03.08.04.a.,,,
03.08.05_obj.a,access to media containing CUI is controlled.,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,MP,no,,,Config API,"Same CA policy object as 03.08.02.a - one emission, two objectives. Same scope predicate.",,,
03.08.05_obj.b,accountability for media containing CUI is maintained during transport outside of controlled areas.,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,MP,no,,,,Chain of custody in transport is procedural; no emission.,,,
03.08.06_obj.a,implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,MP,no,,,Host config read|Config API,Removable-media/storage encryption config emitted. Scope predicate.,,,
03.08.07_obj.a,control the use of removable media on system components.,Control the use of removable media on system components.,MP,yes,NCP checklist repository (inherited),,Host config read|Compliance scan,Device-installation restriction policy emitted; applies to all removable media regardless of contents - no predicate.,,,
03.08.08_obj.a,prohibit the use of portable storage devices when such devices have no identifiable owner.,Prohibit the use of portable storage devices when such devices have no identifiable owner.,MP,partial,,,Host config read|Compliance scan,Device-ID restriction emitted; no predicate. Previously policy-narrative despite enforcing mechanism recorded in working notes - corrected.,,,
03.08.09_obj.a,protect the confidentiality of backup CUI at storage locations.,Protect the confidentiality of backup CUI at storage locations.,MP,no,,,Config API,Backup encryption configuration emitted. Scope predicate on backup contents.,,,
03.07.01_obj.a,perform maintenance on organizational systems.,Perform maintenance on organizational systems.,MA,no,,,,Maintenance performance is a process record (patch/ticket); execution and cadence judgment not machine-determinable. No published cadence exists (authority: none).,,,
03.07.02_obj.a,tools used to conduct system maintenance are controlled.,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",MA,partial,,,Host config read|Compliance scan,"App-control policy state emitted; whether it constitutes 'tools controlled' is undefined - no floor. Emission exists, target does not.",,,
03.07.02_obj.b,techniques used to conduct system maintenance are controlled.,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",MA,no,,,,'Techniques' is not a configurable object; nothing emits.,,,
03.07.02_obj.c,mechanisms used to conduct system maintenance are controlled.,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",MA,partial,,,Host config read,As 03.07.02.a.,,,
03.07.02_obj.d,personnel used to conduct system maintenance are controlled.,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",MA,yes,NCP checklist repository (inherited),,Directory enumeration,Maintenance-personnel group/role membership is an enumeration.,,,
03.07.03_obj.a,ensure equipment removed for off-site maintenance is sanitized of any CUI.,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,MA,no,,,,Process record (retire/wipe before offsite) - as 03.08.03.a.,,,
03.07.04_obj.a,check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems,MA,partial,,,Host config read|Config API,Removable-media scan-on-use setting emitted (Defender). Scoped to org systems; no predicate arises.,,,
03.07.05_obj.a,multifactor authentication is required to establish nonlocal maintenance sessions via external network connections.,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,MA,yes,NCP checklist repository (inherited),,Config API,MFA policy for admin/maintenance sessions emitted. Personnel-scope predicate: which accounts are 'maintenance' is a declaration.,,,
03.07.05_obj.b,nonlocal maintenance sessions established via external network connections are terminated when nonlocal maintenance is complete.,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,MA,partial,,,Config API,"Session lifetime config emitted, but emits 'ends after N hours', not 'ends when maintenance completes' - timer approximates completion. Clearest proxy case in the set.",,,
03.07.06_obj.a,supervise the maintenance activities of maintenance personnel without required access authorization.,Supervise the maintenance activities of maintenance personnel without required access authorization.,MA,no,,,,Supervision is procedural; no emission.,,,
03.06.01_obj.a,an operational incident-handling capability is established.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,Composite of b-g; no independent emission. Excluded from numerator by stated rule.,,,
03.06.01_obj.b,the operational incident-handling capability includes preparation.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,Preparation is procedural.,,,
03.06.01_obj.c,the operational incident-handling capability includes detection.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,Detection capability state emitted: agent deployment + rule set.,yes,V8 AUDIT: Tool state (agent+rules) validates against customer architecture declaration only; no published referent defines what the capability must include. Contrast 03.03.06: no transitive ODP referent exists here. || V8.5: demoted; validates against self-declaration only (no published referent); SIEM feed out of scope. IR now zero fully-reportable (consistent with AT/PP),
03.06.01_obj.d,the operational incident-handling capability includes analysis.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,Analysis capability: workspace + query surface emitted.,yes,V8 AUDIT: As .c — workspace presence validates against self-declaration. || V8.5: demoted; validates against self-declaration only (no published referent); SIEM feed out of scope. IR now zero fully-reportable (consistent with AT/PP),
03.06.01_obj.e,the operational incident-handling capability includes containment.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,Containment automation config emitted; capability class least universal in this family.,yes,"V8 AUDIT: As .c; v7 rationale itself hedged (""least universal""). || V8.5: demoted; validates against self-declaration only (no published referent); SIEM feed out of scope. IR now zero fully-reportable (consistent with AT/PP)",
03.06.01_obj.f,the operational incident-handling capability includes recovery.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,Backup/recovery configuration emitted.,yes,V8 AUDIT: As .c — backup config validates against self-declaration. || V8.5: demoted; validates against self-declaration only (no published referent); SIEM feed out of scope. IR now zero fully-reportable (consistent with AT/PP),
03.06.01_obj.g,the operational incident-handling capability includes user response activities.,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",IR,no,,,,User response procedures are procedural.,,,
03.06.02_obj.a,incidents are tracked.,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",IR,no,,,SIEM / log query,Alert/incident records emitted by platform.,,,
03.06.02_obj.b,incidents are documented.,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",IR,no,,,,Incident documentation is a process record; completeness/quality is human judgment.,,,
03.06.02_obj.c,authorities to whom incidents are to be reported are identified.,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",IR,no,,DFARS clause,,Externally determined - DFARS 252.204-7012 names authorities; nothing to emit and nothing to assess. Note: candidate for objectives the Department can retire from supplier reporting.,,Authority recorded: DFARS 252.204-7012 names authorities (call unchanged).,
03.06.02_obj.d,organizational officials to whom incidents are to be reported are identified.,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",IR,yes,Organization-defined ODP,artifact,Config API,Notification-target membership emitted.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Notification-target membership IS the identification; who ought to be notified is org-defined.,
03.06.02_obj.e,identified authorities are notified of incidents.,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",IR,no,,DFARS clause,,Government-held: DIBNet submission record exists on the Department side. Not a supplier emission - candidate for Department-side lookup rather than supplier reporting.,,Authority recorded: DFARS reporting channel; Department-held record (call unchanged).,
03.06.02_obj.f,identified organizational officials are notified of incidents.,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",IR,no,,,Config API|SIEM / log query,Notification firing records emitted.,,,
03.06.03_obj.a,test the organizational incident response capability.,Test the organizational incident response capability.,IR,no,,,,IR testing is a process record (exercise + AAR).,,,
03.10.01_obj.a,authorized individuals allowed physical access are identified.,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",Physical Protection,partial,,artifact,Directory enumeration,Badge-system / access-control-list membership is an enumeration where an electronic access system exists; in its absence the authorized list is a maintained roster (process record). Lab environment: facility uses electronic badge access - membership emits. Previously classified inherited under cloud-only boundary assumption - corrected: the supplier facility is in scope; CSP inheritance covers datacenter segments only.,yes,V8 AUDIT: Badge ACL IS the identification; authorization judgment not emitted. PE correction retained.,
03.10.01_obj.b,physical access to organizational systems is limited to authorized individuals.,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",Physical Protection,partial,,,SIEM / log query,"Badge events emit entry records for the facility segment; CSP datacenter segment inherited. Emission shows who badged in, not that access was *limited to* authorized individuals - tailgating and propped doors do not emit. Partial: event stream exists, enforcement completeness is not machine-determinable.",,,
03.10.01_obj.c,physical access to equipment is limited to authorized individuals.,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",Physical Protection,partial,,,SIEM / log query,As 03.10.01.b at equipment granularity where readers exist; equipment-level access without readers does not emit.,,,
03.10.01_obj.d,physical access to operating environments is limited to authorized individuals.,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",Physical Protection,partial,,,SIEM / log query,As 03.10.01.b.,,,
03.10.02_obj.a,the physical facility where that system resides is protected.,Protect and monitor the physical facility and support infrastructure for organizational systems.,Physical Protection,no,,,,"Facility protection (locks, barriers, construction) does not emit. CSP datacenter segment inherited via FedRAMP authorization; supplier facility segment has no emission. Corrected from blanket inheritance.",,,
03.10.02_obj.b,the support infrastructure for that system is protected.,Protect and monitor the physical facility and support infrastructure for organizational systems.,Physical Protection,no,,,,"Support infrastructure (power, HVAC, cabling) protection is physical; monitoring sensors where present emit to building systems outside the CUI boundary. Corrected from blanket inheritance.",,,
03.10.02_obj.c,the physical facility where that system resides is monitored.,Protect and monitor the physical facility and support infrastructure for organizational systems.,Physical Protection,partial,,,SIEM / log query,"Camera/alarm systems emit where deployed and integrated; lab facility monitoring is not integrated into the log platform. Partial on class availability, not lab presence. CSP segment inherited.",,,
03.10.02_obj.d,the support infrastructure for that system is monitored.,Protect and monitor the physical facility and support infrastructure for organizational systems.,Physical Protection,no,,,,As 03.10.02.b.,,,
03.10.03_obj.a,visitors are escorted.,Escort visitors and monitor visitor activity.,Physical Protection,no,,,,Escort is a human act; visitor-log records attest process. Process record.,,,
03.10.03_obj.b,visitor activity is monitored.,Escort visitors and monitor visitor activity.,Physical Protection,no,,,,As 03.10.03.a - monitoring of visitors is procedural; sign-in records are process records.,,,
03.10.04_obj.a,maintain audit logs of physical access.,Maintain audit logs of physical access.,Physical Protection,no,,,SIEM / log query,"Badge-system event log IS the physical-access audit log where electronic access exists - direct emission, and the one PE objective that is unambiguously machine-reportable. Paper sign-in sheets in non-badged areas remain process records.",,,
03.10.05_obj.a,physical access devices are identified.,Control and manage physical access devices.,Physical Protection,yes,Organization-defined ODP,artifact,Directory enumeration,Badge/credential inventory is an enumeration in the access-control system.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Badge/credential inventory IS the identification. As .a.,
03.10.05_obj.b,physical access devices are controlled.,Control and manage physical access devices.,Physical Protection,partial,,,Directory enumeration|SIEM / log query,Issuance/revocation state emits; physical key control does not. Split by device class.,,,
03.10.05_obj.c,physical access devices are managed.,Control and manage physical access devices.,Physical Protection,partial,,,Directory enumeration,"As 03.10.05.b - electronic credential lifecycle emits, physical device custody does not.",,,
03.10.06_obj.a,safeguarding measures for CUI are defined for alternate work sites.,Enforce safeguarding measures for CUI at alternate work sites.,Physical Protection,no,,,,"Definition objective for alternate work sites - a determination, not an emission. No floor exists (authority: none). Corrected from inheritance: alternate work sites are the one segment no CSP authorization can ever reach - the control exists precisely because the space is outside any datacenter.",,,
03.10.06_obj.b,safeguarding measures for CUI are enforced for alternate work sites.,Enforce safeguarding measures for CUI at alternate work sites.,Physical Protection,partial,,,Config API,"Enforcement partially emits for the technical slice: CA policies, device compliance state, and encryption apply identically at any location - location-independent controls emit regardless of site. The physical slice of home-site safeguarding does not emit. Corrected from inheritance, as .a.",,,
03.02.01_obj.a,security risks associated with organizational activities involving CUI are identified.,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Awareness & Training,no,,,,Risk identification is an analytic determination; no emission.,,,
03.02.01_obj.b,"policies, standards, and procedures related to the security of the system are identified.","Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Awareness & Training,no,,,,Identification of applicable policies is a determination; no emission. Candidate for the model-content point: the identification could be discharged by adopting Department-published content by reference.,,,
03.02.01_obj.c,"managers, systems administrators, and users of the system are made aware of the security risks associated with their activities.","Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Awareness & Training,no,,,,"Awareness is a human state. Training-completion records emit from an LMS but attest exposure, not awareness - process record; completion is machine-recordable, the objective's verb is not.",,,
03.02.01_obj.d,"managers, systems administrators, and users of the system are made aware of the applicable policies, standards, and procedures related to the security of the system.","Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems.",Awareness & Training,no,,,,As 03.02.01.c.,,,
03.02.02_obj.a,"information security-related duties, roles, and responsibilities are defined.",Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,Awareness & Training,no,,,,Definition objective - duties/roles defined. A determination; no emission. Model-content candidate.,,,
03.02.02_obj.b,"information security-related duties, roles, and responsibilities are assigned to designated personnel.",Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,Awareness & Training,yes,NCP checklist repository (inherited),,Directory enumeration,Role assignment IS an enumeration - security roles assigned to personnel emit from the directory/RBAC. The one A&T objective that emits directly.,,,
03.02.02_obj.c,"personnel are adequately trained to carry out their assigned information security-related duties, roles, and responsibilities.",Ensure that organizational personnel are adequately trained to carry out their assigned information security-related duties and responsibilities.,Awareness & Training,no,,,,Adequacy of training is a judgment; completion records are process records.,,,
03.02.03_obj.a,potential indicators associated with insider threats are identified.,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,Awareness & Training,no,,,,Indicator identification is a determination. Model-content candidate - a Department-published indicator list would discharge it by reference.,,,
03.02.03_obj.b,security awareness training on recognizing and reporting potential indicators of insider threat is provided to managers and employees.,Provide security awareness training on recognizing and reporting potential indicators of insider threat.,Awareness & Training,no,,,,Provision of training: LMS completion records attest delivery - process record; content adequacy is human judgment.,,,
03.09.01_obj.a,screen individuals prior to authorizing access to organizational systems containing CUI.,Screen individuals prior to authorizing access to organizational systems containing CUI.,Personnel Security,no,,,,"Screening is a human process performed before access; the screening act does not emit. An HRIS record attests completion - process record. Note: sequencing (screened *prior to* access) could in principle be tested by joining HR dates to account-creation dates, but the HR side is a process record, so the join inherits that status.",,,
03.09.02_obj.a,a policy and/or process for terminating system access authorization and any credentials coincident with personnel actions is established.,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,Personnel Security,no,,,,Policy/process establishment - a definition objective; no emission. Model-content candidate.,,,
